timestamp,strategy,symbol,timeframe,horizon,start_date,end_date,days,stdout,stderr,returncode
20250908T111101Z,load_dispatch_swing,,1h,1d,,,60,logs/20250908T111101Z_grid.log,logs/20250908T111101Z_grid.err,0
20250908T111917Z,load_dispatch_swing,BTC/USDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T111917Z_grid.log,logs/20250908T111917Z_grid.err,0
20250908T112023Z,peak_shaving_scalping,,1h,1d,2025-08-11,2025-09-01,21,logs/20250908T112023Z_grid.log,logs/20250908T112023Z_grid.err,0
20250908T112505Z,load_dispatch_swing,BTC/USDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T112505Z_grid.log,logs/20250908T112505Z_grid.err,0
20250908T113408Z,load_dispatch_swing,BTC/USDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T113408Z_grid.log,logs/20250908T113408Z_grid.err,1
20250908T113646Z,load_dispatch_swing,BTC/USDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T113646Z_grid.log,logs/20250908T113646Z_grid.err,1
20250908T113754Z,load_dispatch_swing,BTC/USDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T113754Z_grid.log,logs/20250908T113754Z_grid.err,0
20250908T114113Z,peak_shaving_scalping,BTC/USDC,1h,1d,2025-08-01,2025-09-01,31,logs/20250908T114113Z_grid.log,logs/20250908T114113Z_grid.err,0
20250908T114539Z,load_dispatch_swing,BTC/USDC,15m,1d,2025-08-01,2025-09-01,31,logs/20250908T114539Z_grid.log,logs/20250908T114539Z_grid.err,0
20250908T121034Z,load_dispatch_swing,BTC/USDC,15m,1d,2025-07-01,2025-09-01,62,logs/20250908T121034Z_grid.log,logs/20250908T121034Z_grid.err,0
20250908T121125Z,load_dispatch_swing,BTCUSDC,1h,1d,2025-07-01,2025-09-01,62,logs/20250908T121125Z_grid.log,logs/20250908T121125Z_grid.err,0
20250908T121220Z,load_dispatch_swing,BTC/USDC,15m,1d,2025-07-01,2025-09-01,62,logs/20250908T121220Z_grid.log,logs/20250908T121220Z_grid.err,0
20250908T121541Z,load_dispatch_swing,BTCUSDC,15m,1d,2025-07-01,2025-09-01,62,logs/20250908T121541Z_grid.log,logs/20250908T121541Z_grid.err,1
20250908T121652Z,load_dispatch_swing,BTCUSDC,15m,1d,2025-07-01,2025-09-01,62,logs/20250908T121652Z_grid.log,logs/20250908T121652Z_grid.err,0
20250908T121813Z,load_dispatch_swing,BTCUSDC,15m,1d,2025-07-01,2025-09-01,62,logs/20250908T121813Z_grid.log,logs/20250908T121813Z_grid.err,0
20250908T122237Z,load_dispatch_swing,BTCUSDC,1h,1d,2025-01-01,2025-09-01,243,logs/20250908T122237Z_grid.log,logs/20250908T122237Z_grid.err,0
20250908T122456Z,peak_shaving_scalping,,1h,1d,2025-01-01,2025-09-01,243,logs/20250908T122456Z_grid.log,logs/20250908T122456Z_grid.err,0
